ppg,art
9.510559,76.1116
4.3757935,78.08652
0.8209381,77.09909
0.42596436,74.13669
-0.36401367,70.18686
-0.7589874,66.23703
-0.36401367,64.262115
0.42596436,64.262115
1.2159271,64.262115
3.9808044,65.2496
6.350708,66.23703
9.510559,66.23703
11.485474,65.2496
13.065414,64.262115
14.64534,61.299774
15.830292,61.299774
16.225266,60.312286
16.225266,61.299774
16.620255,62.2872
16.620255,64.262115
17.015244,66.23703
17.015244,69.19943
17.410217,72.16177
18.20018,74.13669
18.990158,77.09909
19.78012,80.06143
20.570084,83.023834
20.965073,87.96109
21.755035,92.89841
22.15001,97.83566
22.939972,100.798065
23.33496,102.77298
24.124924,101.78549
24.124924,98.82315
24.519913,96.848236
24.914886,93.88583
24.914886,93.88583
25.309875,95.86075
25.704865,96.848236
25.704865,98.82315
26.099838,100.798065
26.494827,102.77298
26.889801,102.77298
27.28479,102.77298
28.074753,101.78549
28.469742,101.78549
28.864716,100.798065
29.259705,99.81058
29.654694,97.83566
30.049667,94.87332
30.444656,92.89841
30.83963,89.936005
31.23462,88.94858
31.23462,86.97366
31.629608,84.99875
31.629608,84.01126
32.024582,82.03635
32.024582,81.04892
32.41957,80.06143
33.209534,79.074005
33.604523,80.06143
34.394485,80.06143
34.78946,80.06143
35.579437,80.06143
36.764374,80.06143
37.554337,79.074005
38.344315,80.06143
39.52925,79.074005
40.31923,78.08652
41.899155,78.08652
43.47908,77.09909
45.05902,76.1116
46.638947,76.1116
49.00885,75.124176
51.37874,73.14926
53.353653,73.14926
55.723557,72.16177
58.883423,71.17435
61.253326,70.18686
64.41318,70.18686
66.78308,70.18686
68.757996,71.17435
71.12787,70.18686
71.91785,70.18686
72.707825,69.19943
73.49777,69.19943
72.312836,68.211945
71.12787,68.211945
69.54794,69.19943
67.17807,70.18686
65.598114,70.18686
63.22824,72.16177
60.46335,72.16177
57.303482,71.17435
54.143616,69.19943
51.37874,68.211945
48.61386,68.211945
46.243973,68.211945
43.47908,69.19943
41.10919,69.19943
39.134277,69.19943
37.159363,67.22452
35.18445,65.2496
33.999496,63.27469
32.024582,61.299774
31.23462,61.299774
30.444656,63.27469
30.049667,65.2496
29.654694,64.262115
29.259705,58.33737
29.654694,52.41263
29.259705,48.4628
29.654694,49.450287
29.259705,52.41263
29.654694,57.349945
29.654694,61.299774
29.654694,63.27469
29.259705,65.2496
29.259705,64.262115
29.259705,63.27469
29.259705,61.299774
29.259705,60.312286
29.259705,62.2872
29.259705,65.2496
29.259705,73.14926
29.654694,81.04892
29.654694,89.936005
30.049667,96.848236
30.444656,102.77298
30.444656,106.72281
30.83963,108.69772
31.23462,107.710236
31.23462,105.73532
31.23462,103.76041
31.23462,101.78549
31.23462,100.798065
31.629608,99.81058
31.629608,100.798065
31.23462,100.798065
31.629608,103.76041
31.629608,103.76041
32.024582,103.76041
32.024582,102.77298
32.024582,98.82315
32.024582,96.848236
32.024582,93.88583
32.024582,92.89841
31.629608,90.92349
31.629608,90.92349
31.629608,89.936005
31.23462,88.94858
31.629608,87.96109
31.629608,86.97366
32.024582,84.99875
32.024582,84.01126
32.024582,82.03635
32.024582,81.04892
32.024582,81.04892
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.024582,80.06143
32.41957,81.04892
32.814545,80.06143
33.999496,80.06143
34.78946,80.06143
35.97441,80.06143
37.949326,80.06143
39.92424,80.06143
41.504166,80.06143
45.05902,80.06143
47.8239,79.074005
50.588776,78.08652
54.143616,77.09909
56.90851,76.1116
60.858337,75.124176
63.22824,74.13669
65.203156,72.16177
67.57303,72.16177
69.152954,70.18686
69.54794,70.18686
69.54794,68.211945
69.152954,67.22452
68.36301,66.23703
66.78308,65.2496
65.203156,64.262115
62.833252,64.262115
60.46335,62.2872
57.69847,62.2872
54.933594,61.299774
51.773727,60.312286
49.00885,60.312286
46.243973,60.312286
43.47908,60.312286
41.10919,61.299774
38.344315,62.2872
36.3694,62.2872
34.394485,63.27469
32.41957,63.27469
30.444656,63.27469
29.654694,63.27469
29.259705,64.262115
28.469742,64.262115
28.469742,65.2496
28.864716,65.2496
29.259705,66.23703
29.259705,65.2496
29.654694,64.262115
30.049667,63.27469
30.444656,62.2872
30.049667,62.2872
29.654694,60.312286
29.654694,60.312286
28.864716,59.32486
28.074753,60.312286
27.28479,59.32486
26.494827,60.312286
25.704865,62.2872
25.309875,65.2496
24.519913,69.19943
24.124924,76.1116
23.72995,81.04892
23.72995,87.96109
23.72995,94.87332
23.72995,99.81058
23.72995,103.76041
23.72995,105.73532
23.72995,105.73532
23.72995,106.72281
23.33496,106.72281
23.72995,106.72281
23.72995,106.72281
23.72995,107.710236
23.72995,107.710236
24.124924,107.710236
24.124924,107.710236
24.519913,105.73532
24.914886,102.77298
25.704865,100.798065
26.099838,99.81058
26.494827,98.82315
27.28479,96.848236
27.67978,96.848236
28.469742,95.86075
28.864716,95.86075
29.654694,93.88583
30.049667,91.91092
30.83963,89.936005
31.629608,87.96109
31.629608,85.986176
32.024582,83.023834
32.024582,81.04892
32.41957,79.074005
32.024582,79.074005
32.024582,80.06143
32.024582,82.03635
32.024582,84.01126
31.629608,84.99875
31.629608,85.986176
32.024582,84.99875
32.024582,82.03635
32.41957,80.06143
33.209534,78.08652
33.604523,78.08652
34.78946,80.06143
35.579437,81.04892
36.764374,82.03635
37.949326,82.03635
39.92424,81.04892
41.10919,80.06143
43.47908,77.09909
45.453995,76.1116
48.218872,74.13669
51.37874,73.14926
54.143616,73.14926
57.69847,74.13669
60.46335,74.13669
62.833252,73.14926
65.598114,72.16177
67.17807,71.17435
67.96802,71.17435
68.36301,70.18686
68.757996,69.19943
67.96802,69.19943
66.78308,68.211945
65.203156,67.22452
63.6232,67.22452
60.858337,66.23703
58.488434,66.23703
56.51352,66.23703
53.748642,66.23703
50.588776,66.23703
47.8239,65.2496
45.453995,65.2496
43.084106,64.262115
40.714203,64.262115
38.344315,63.27469
36.764374,64.262115
34.78946,64.262115
33.604523,65.2496
32.024582,66.23703
31.23462,67.22452
30.444656,67.22452
30.049667,67.22452
30.049667,67.22452
30.049667,67.22452
30.444656,67.22452
30.444656,66.23703
30.83963,66.23703
31.629608,66.23703
32.024582,67.22452
32.41957,68.211945
32.41957,67.22452
32.814545,67.22452
32.41957,67.22452
32.814545,66.23703
32.41957,66.23703
32.41957,66.23703
32.024582,66.23703
32.024582,68.211945
32.024582,71.17435
32.024582,74.13669
32.024582,78.08652
32.41957,82.03635
32.814545,85.986176
33.209534,88.94858
32.814545,92.89841
33.209534,95.86075
33.209534,99.81058
33.604523,100.798065
33.209534,103.76041
32.814545,104.747894
32.814545,105.73532
32.024582,106.72281
31.23462,106.72281
30.444656,106.72281
29.654694,107.710236
28.864716,109.68515
28.074753,110.67264
27.28479,111.660065
27.28479,110.67264
26.889801,108.69772
26.494827,107.710236
26.494827,105.73532
26.494827,104.747894
26.494827,105.73532
26.494827,106.72281
26.889801,107.710236
26.889801,105.73532
27.28479,102.77298
27.28479,95.86075
27.28479,91.91092
27.67978,88.94858
27.67978,87.96109
27.67978,88.94858
28.074753,89.936005
28.469742,91.91092
28.864716,91.91092
29.654694,89.936005
30.049667,87.96109
30.83963,84.99875
31.629608,84.01126
32.41957,84.01126
33.209534,84.99875
34.394485,86.97366
35.18445,87.96109
35.97441,87.96109
37.159363,87.96109
38.344315,84.99875
39.134277,83.023834
41.504166,81.04892
43.084106,80.06143
45.453995,80.06143
48.61386,80.06143
51.773727,81.04892
54.933594,81.04892
58.488434,80.06143
62.438263,80.06143
66.38809,79.074005
69.94293,78.08652
72.707825,74.13669
75.47269,68.211945
78.23758,63.27469
79.02753,68.211945
79.817505,81.04892
