ppg,art
72.312836,96.848236
69.94293,95.86075
67.96802,94.87332
65.598114,93.88583
63.22824,91.91092
61.253326,90.92349
58.093445,90.92349
56.11853,89.936005
53.748642,90.92349
50.983765,91.91092
49.00885,92.89841
46.638947,93.88583
44.664032,92.89841
42.689117,91.91092
40.714203,90.92349
38.73929,89.936005
37.159363,90.92349
35.97441,90.92349
34.78946,90.92349
34.394485,90.92349
33.209534,90.92349
33.209534,90.92349
32.41957,89.936005
32.814545,89.936005
32.41957,88.94858
32.41957,88.94858
32.024582,88.94858
32.41957,89.936005
32.41957,90.92349
32.024582,94.87332
32.024582,97.83566
31.629608,103.76041
31.629608,109.68515
31.629608,116.59738
31.23462,123.50955
31.23462,129.4343
31.23462,133.38412
31.629608,137.33395
31.629608,140.2963
31.629608,143.2587
31.629608,144.24612
31.629608,145.23361
31.629608,145.23361
31.23462,146.22104
30.83963,145.23361
30.444656,145.23361
30.444656,145.23361
29.654694,145.23361
29.259705,144.24612
28.864716,143.2587
28.864716,142.27121
28.469742,140.2963
28.469742,138.32138
28.864716,136.34653
28.864716,135.35904
29.259705,133.38412
29.654694,131.40921
30.444656,129.4343
30.83963,127.45938
31.23462,123.50955
32.024582,120.54721
32.814545,117.58481
33.604523,114.62247
33.209534,111.660065
33.999496,109.68515
33.999496,109.68515
34.394485,109.68515
34.394485,110.67264
34.394485,111.660065
33.999496,113.63498
34.394485,114.62247
34.394485,114.62247
34.78946,114.62247
35.579437,114.62247
36.3694,114.62247
37.159363,116.59738
39.52925,116.59738
41.899155,117.58481
43.87407,117.58481
47.42891,116.59738
50.983765,115.60989
54.538605,113.63498
58.883423,111.660065
62.438263,110.67264
66.78308,111.660065
69.94293,111.660065
71.91785,110.67264
73.49777,108.69772
75.0777,105.73532
74.68274,102.77298
73.49777,100.798065
71.52286,98.82315
69.94293,97.83566
67.17807,97.83566
64.41318,98.82315
61.253326,98.82315
59.27841,99.81058
57.303482,99.81058
54.933594,98.82315
53.353653,96.848236
52.1687,95.86075
51.37874,95.86075
49.798813,95.86075
49.403824,95.86075
48.61386,96.848236
47.8239,96.848236
47.033936,97.83566
46.243973,97.83566
45.453995,96.848236
45.05902,97.83566
44.26906,98.82315
43.87407,99.81058
43.87407,100.798065
44.664032,101.78549
45.05902,100.798065
45.453995,99.81058
47.033936,98.82315
48.61386,96.848236
50.193787,95.86075
51.37874,95.86075
52.56369,95.86075
53.748642,96.848236
54.538605,97.83566
54.143616,99.81058
54.143616,102.77298
53.748642,104.747894
51.773727,109.68515
49.798813,115.60989
47.42891,121.53464
44.26906,130.42178
41.899155,136.34653
38.73929,142.27121
36.3694,146.22104
33.604523,148.19595
31.23462,148.19595
28.864716,147.20853
27.28479,148.19595
26.099838,148.19595
24.519913,148.19595
23.72995,149.18344
23.72995,149.18344
23.33496,149.18344
23.72995,147.20853
