ppg,art
31.629608,69.19943
31.629608,70.18686
32.024582,71.17435
31.23462,73.14926
31.23462,75.124176
30.444656,77.09909
30.049667,79.074005
29.259705,81.04892
28.864716,82.03635
28.074753,84.01126
28.074753,84.99875
27.28479,85.986176
26.889801,87.96109
26.494827,88.94858
26.099838,90.92349
25.704865,90.92349
25.704865,91.91092
24.914886,92.89841
24.914886,92.89841
24.914886,92.89841
24.519913,92.89841
24.914886,92.89841
24.914886,92.89841
24.914886,92.89841
24.914886,92.89841
24.914886,92.89841
24.914886,92.89841
24.914886,91.91092
24.914886,91.91092
25.309875,91.91092
24.914886,90.92349
24.914886,90.92349
25.309875,90.92349
25.309875,89.936005
25.309875,90.92349
25.309875,89.936005
25.309875,89.936005
25.309875,88.94858
25.704865,87.96109
25.704865,88.94858
25.704865,87.96109
26.099838,87.96109
26.494827,86.97366
27.28479,86.97366
28.469742,85.986176
29.654694,85.986176
31.629608,85.986176
33.604523,85.986176
35.97441,84.99875
39.134277,84.01126
43.47908,84.01126
47.033936,84.01126
50.588776,83.023834
53.353653,83.023834
56.51352,82.03635
59.27841,82.03635
60.46335,81.04892
61.253326,81.04892
61.648285,80.06143
61.253326,79.074005
60.06836,79.074005
58.883423,78.08652
57.303482,77.09909
56.11853,77.09909
54.143616,76.1116
52.1687,75.124176
51.37874,76.1116
49.798813,76.1116
49.00885,75.124176
47.42891,75.124176
46.638947,75.124176
45.848984,74.13669
44.664032,74.13669
43.47908,74.13669
41.899155,74.13669
40.714203,74.13669
39.52925,73.14926
37.949326,72.16177
35.97441,72.16177
34.78946,71.17435
33.604523,70.18686
32.41957,69.19943
31.629608,68.211945
31.629608,68.211945
31.23462,67.22452
31.23462,66.23703
31.23462,67.22452
31.23462,68.211945
31.629608,70.18686
31.629608,72.16177
31.629608,74.13669
31.629608,75.124176
31.629608,76.1116
31.23462,76.1116
30.83963,77.09909
30.444656,78.08652
30.049667,80.06143
29.654694,81.04892
28.864716,83.023834
28.469742,84.01126
28.074753,84.99875
27.67978,86.97366
26.889801,86.97366
26.494827,87.96109
26.494827,87.96109
26.099838,88.94858
25.704865,89.936005
25.704865,89.936005
25.704865,90.92349
25.704865,89.936005
25.309875,91.91092
25.309875,90.92349
25.309875,90.92349
24.914886,90.92349
25.309875,89.936005
24.914886,89.936005
24.914886,89.936005
24.914886,88.94858
24.914886,88.94858
24.914886,87.96109
24.914886,88.94858
24.914886,87.96109
25.309875,86.97366
25.309875,86.97366
25.309875,85.986176
24.914886,86.97366
25.704865,86.97366
25.309875,86.97366
25.704865,86.97366
25.704865,87.96109
26.099838,86.97366
26.494827,85.986176
26.889801,85.986176
28.469742,84.01126
29.654694,83.023834
31.23462,82.03635
33.604523,81.04892
36.764374,80.06143
39.134277,80.06143
42.689117,80.06143
46.638947,80.06143
49.798813,80.06143
53.353653,80.06143
55.723557,80.06143
58.093445,80.06143
60.06836,79.074005
60.06836,80.06143
60.46335,79.074005
60.06836,78.08652
59.27841,78.08652
57.69847,77.09909
56.11853,78.08652
54.538605,76.1116
53.353653,76.1116
51.37874,75.124176
49.798813,74.13669
48.218872,75.124176
47.033936,73.14926
45.453995,73.14926
44.26906,73.14926
43.084106,73.14926
41.899155,73.14926
40.31923,73.14926
38.73929,72.16177
37.159363,71.17435
35.579437,72.16177
34.78946,71.17435
33.604523,71.17435
32.41957,70.18686
32.024582,69.19943
31.629608,69.19943
31.23462,68.211945
30.444656,68.211945
30.83963,68.211945
31.23462,67.22452
31.23462,67.22452
31.629608,68.211945
31.629608,68.211945
31.629608,68.211945
32.024582,69.19943
31.629608,70.18686
31.629608,72.16177
31.23462,73.14926
30.83963,75.124176
30.049667,77.09909
29.654694,78.08652
29.259705,80.06143
28.469742,81.04892
28.074753,83.023834
27.67978,84.99875
27.67978,84.99875
27.28479,86.97366
26.889801,86.97366
26.099838,87.96109
26.099838,87.96109
25.704865,87.96109
25.309875,88.94858
25.309875,88.94858
24.914886,89.936005
24.914886,89.936005
24.519913,90.92349
24.519913,90.92349
24.519913,89.936005
24.519913,89.936005
24.914886,88.94858
24.914886,88.94858
24.914886,87.96109
25.309875,87.96109
24.914886,87.96109
25.309875,87.96109
25.704865,87.96109
25.704865,87.96109
26.099838,86.97366
26.099838,86.97366
26.099838,85.986176
25.704865,85.986176
26.099838,84.99875
26.099838,85.986176
25.704865,84.99875
26.494827,84.99875
26.889801,84.99875
27.28479,84.99875
28.469742,84.01126
29.654694,84.01126
31.629608,83.023834
33.209534,82.03635
36.3694,82.03635
39.52925,82.03635
42.689117,81.04892
45.848984,81.04892
49.798813,81.04892
52.95868,80.06143
55.723557,80.06143
57.69847,80.06143
60.06836,80.06143
61.648285,79.074005
61.253326,78.08652
61.253326,78.08652
60.858337,78.08652
59.67337,76.1116
57.69847,76.1116
56.11853,76.1116
54.538605,76.1116
52.95868,76.1116
50.983765,75.124176
49.403824,74.13669
48.218872,74.13669
47.033936,74.13669
45.848984,73.14926
44.26906,73.14926
43.084106,72.16177
41.899155,73.14926
40.714203,72.16177
39.134277,72.16177
37.949326,72.16177
36.3694,71.17435
35.18445,70.18686
33.999496,70.18686
33.209534,69.19943
32.41957,69.19943
32.024582,67.22452
31.629608,67.22452
31.23462,68.211945
31.23462,67.22452
31.23462,67.22452
31.629608,67.22452
32.024582,67.22452
31.629608,68.211945
32.024582,68.211945
32.024582,70.18686
32.024582,72.16177
31.23462,73.14926
31.23462,74.13669
30.83963,77.09909
30.444656,79.074005
29.654694,80.06143
29.259705,81.04892
28.469742,82.03635
28.074753,84.01126
27.67978,84.99875
27.28479,85.986176
26.889801,86.97366
26.889801,87.96109
26.494827,87.96109
26.099838,88.94858
26.099838,88.94858
25.704865,89.936005
25.704865,90.92349
25.309875,89.936005
25.309875,90.92349
25.704865,90.92349
25.704865,90.92349
25.704865,90.92349
25.704865,89.936005
25.704865,89.936005
25.704865,88.94858
25.704865,88.94858
25.704865,88.94858
25.704865,88.94858
25.704865,88.94858
25.704865,87.96109
26.099838,87.96109
26.099838,87.96109
26.099838,87.96109
26.099838,86.97366
26.099838,86.97366
26.099838,86.97366
26.099838,85.986176
26.494827,85.986176
26.494827,85.986176
27.28479,85.986176
28.074753,85.986176
28.864716,84.99875
30.83963,84.99875
32.814545,84.99875
34.78946,84.01126
37.949326,84.01126
41.10919,83.023834
44.26906,83.023834
47.8239,82.03635
51.37874,82.03635
54.538605,81.04892
57.303482,81.04892
59.27841,81.04892
60.858337,80.06143
62.043274,79.074005
62.043274,80.06143
61.648285,79.074005
61.253326,78.08652
60.06836,78.08652
58.093445,77.09909
56.51352,77.09909
54.933594,77.09909
53.748642,77.09909
52.1687,76.1116
50.588776,75.124176
49.403824,76.1116
47.8239,75.124176
46.638947,74.13669
45.453995,74.13669
43.87407,74.13669
42.689117,73.14926
40.714203,73.14926
39.52925,73.14926
37.949326,72.16177
36.3694,71.17435
35.18445,72.16177
33.999496,71.17435
32.814545,70.18686
32.41957,70.18686
31.629608,69.19943
31.629608,70.18686
31.629608,69.19943
31.629608,69.19943
31.629608,69.19943
31.629608,68.211945
32.41957,69.19943
32.41957,70.18686
32.41957,71.17435
32.41957,71.17435
32.024582,73.14926
32.024582,75.124176
31.629608,76.1116
30.83963,78.08652
30.444656,79.074005
30.049667,81.04892
29.654694,83.023834
28.864716,84.99875
28.469742,84.99875
28.074753,86.97366
27.67978,87.96109
26.889801,87.96109
26.889801,89.936005
26.494827,89.936005
26.099838,90.92349
26.099838,90.92349
25.704865,91.91092
25.704865,91.91092
25.704865,93.88583
25.704865,92.89841
25.704865,93.88583
25.309875,93.88583
25.309875,92.89841
25.309875,91.91092
25.309875,92.89841
25.309875,91.91092
24.914886,92.89841
25.309875,91.91092
25.704865,91.91092
25.704865,90.92349
25.704865,90.92349
25.704865,90.92349
26.099838,89.936005
26.099838,89.936005
26.099838,88.94858
26.099838,88.94858
26.494827,88.94858
26.494827,87.96109
26.889801,87.96109
27.28479,87.96109
28.074753,87.96109
28.864716,87.96109
29.654694,86.97366
31.629608,86.97366
33.999496,85.986176
35.97441,85.986176
39.52925,85.986176
43.084106,84.99875
46.638947,84.99875
50.193787,84.01126
53.748642,84.01126
57.303482,84.01126
59.67337,83.023834
61.253326,83.023834
62.833252,82.03635
64.01819,82.03635
63.6232,82.03635
62.833252,82.03635
62.043274,81.04892
60.46335,80.06143
58.883423,79.074005
57.303482,79.074005
55.723557,79.074005
54.143616,78.08652
52.95868,78.08652
51.37874,78.08652
50.193787,77.09909
49.00885,77.09909
47.8239,77.09909
46.638947,76.1116
45.05902,76.1116
43.87407,75.124176
41.899155,74.13669
40.31923,74.13669
38.73929,73.14926
36.764374,73.14926
35.579437,72.16177
34.394485,72.16177
33.209534,73.14926
32.41957,73.14926
31.629608,72.16177
31.23462,71.17435
31.23462,70.18686
31.23462,70.18686
31.629608,69.19943
31.629608,69.19943
32.024582,69.19943
32.024582,69.19943
32.41957,68.211945
32.41957,69.19943
31.629608,70.18686
31.23462,71.17435
30.83963,72.16177
30.049667,74.13669
29.654694,75.124176
28.864716,77.09909
28.469742,78.08652
28.469742,80.06143
27.67978,81.04892
27.28479,82.03635
26.889801,83.023834
26.494827,84.99875
26.494827,85.986176
26.099838,86.97366
25.704865,87.96109
25.309875,88.94858
24.914886,89.936005
24.914886,89.936005
24.914886,90.92349
24.914886,91.91092
