ppg,art
39.134277,88.94858
38.344315,86.97366
37.554337,84.99875
37.159363,82.03635
36.764374,81.04892
35.97441,80.06143
35.97441,78.08652
35.97441,78.08652
35.579437,79.074005
35.97441,79.074005
35.97441,79.074005
35.97441,81.04892
36.3694,81.04892
36.764374,81.04892
37.159363,81.04892
37.159363,81.04892
37.554337,80.06143
37.949326,79.074005
37.949326,78.08652
38.344315,77.09909
39.52925,76.1116
39.92424,76.1116
41.10919,75.124176
42.294144,74.13669
43.47908,74.13669
45.05902,73.14926
47.033936,73.14926
49.00885,73.14926
50.983765,73.14926
52.95868,72.16177
54.933594,72.16177
56.51352,72.16177
58.093445,71.17435
58.883423,70.18686
59.67337,70.18686
60.06836,70.18686
60.06836,68.211945
59.67337,69.19943
59.27841,68.211945
58.093445,69.19943
57.303482,69.19943
56.51352,68.211945
55.328568,68.211945
54.538605,69.19943
53.353653,68.211945
51.773727,68.211945
50.588776,69.19943
49.403824,71.17435
48.218872,74.13669
47.8239,79.074005
47.033936,83.023834
46.243973,88.94858
45.453995,95.86075
45.05902,100.798065
44.664032,105.73532
43.87407,109.68515
43.47908,110.67264
42.689117,110.67264
41.899155,108.69772
41.504166,105.73532
40.714203,101.78549
40.714203,98.82315
40.31923,94.87332
38.73929,91.91092
38.344315,88.94858
37.949326,85.986176
37.159363,83.023834
36.3694,81.04892
35.579437,79.074005
35.18445,77.09909
34.78946,76.1116
34.394485,75.124176
33.999496,75.124176
33.604523,75.124176
32.814545,76.1116
32.41957,77.09909
32.024582,78.08652
31.629608,78.08652
31.23462,78.08652
31.23462,79.074005
31.23462,78.08652
30.83963,77.09909
31.23462,76.1116
31.23462,76.1116
31.629608,75.124176
32.024582,74.13669
32.814545,73.14926
33.604523,73.14926
33.999496,72.16177
35.97441,72.16177
37.949326,72.16177
39.92424,71.17435
41.899155,71.17435
43.87407,70.18686
46.243973,70.18686
48.218872,69.19943
49.798813,69.19943
50.983765,69.19943
52.1687,68.211945
52.56369,68.211945
52.56369,68.211945
52.56369,68.211945
52.1687,67.22452
50.983765,68.211945
50.588776,68.211945
49.403824,67.22452
48.218872,67.22452
47.42891,67.22452
46.243973,66.23703
45.453995,67.22452
44.664032,68.211945
43.87407,68.211945
42.689117,69.19943
42.294144,70.18686
41.899155,72.16177
41.504166,77.09909
41.10919,81.04892
40.714203,86.97366
40.31923,91.91092
40.31923,96.848236
39.52925,100.798065
39.134277,102.77298
38.73929,103.76041
38.344315,102.77298
37.949326,100.798065
37.159363,96.848236
36.764374,93.88583
35.97441,89.936005
35.18445,86.97366
34.78946,83.023834
34.394485,81.04892
33.999496,78.08652
33.604523,76.1116
33.209534,74.13669
32.814545,73.14926
32.814545,72.16177
32.024582,71.17435
32.024582,71.17435
31.629608,72.16177
31.629608,72.16177
31.629608,73.14926
31.629608,74.13669
31.629608,75.124176
31.629608,76.1116
32.024582,75.124176
32.024582,75.124176
32.024582,74.13669
32.41957,73.14926
32.41957,72.16177
32.814545,72.16177
33.209534,71.17435
33.604523,70.18686
33.999496,70.18686
34.78946,70.18686
35.579437,69.19943
37.159363,69.19943
38.73929,69.19943
40.31923,68.211945
41.899155,68.211945
43.47908,68.211945
45.453995,67.22452
47.033936,67.22452
48.61386,67.22452
49.403824,67.22452
49.798813,66.23703
50.588776,66.23703
50.193787,66.23703
49.403824,65.2496
49.00885,65.2496
47.8239,65.2496
46.638947,65.2496
45.453995,65.2496
44.26906,65.2496
43.47908,65.2496
42.294144,65.2496
41.504166,66.23703
40.714203,66.23703
39.92424,67.22452
39.52925,69.19943
39.134277,73.14926
38.73929,77.09909
38.73929,82.03635
38.344315,88.94858
38.344315,93.88583
38.344315,98.82315
37.949326,101.78549
37.554337,102.77298
37.159363,102.77298
36.764374,100.798065
35.97441,97.83566
35.579437,93.88583
34.78946,90.92349
34.394485,86.97366
33.999496,84.01126
33.209534,81.04892
32.41957,78.08652
32.024582,76.1116
31.629608,73.14926
30.83963,73.14926
30.83963,71.17435
30.444656,71.17435
30.444656,70.18686
30.049667,71.17435
30.049667,72.16177
30.049667,73.14926
30.049667,74.13669
30.049667,74.13669
30.049667,74.13669
30.049667,75.124176
30.444656,74.13669
30.444656,74.13669
30.83963,73.14926
30.83963,72.16177
31.23462,72.16177
32.024582,71.17435
32.024582,71.17435
33.209534,70.18686
33.999496,69.19943
34.78946,69.19943
36.3694,68.211945
37.949326,68.211945
39.92424,68.211945
41.899155,68.211945
43.87407,68.211945
46.243973,67.22452
48.218872,67.22452
49.403824,67.22452
50.588776,66.23703
51.773727,65.2496
52.56369,65.2496
52.1687,65.2496
52.1687,65.2496
51.773727,65.2496
50.193787,64.262115
49.00885,65.2496
47.8239,65.2496
46.243973,65.2496
45.05902,65.2496
43.47908,65.2496
42.294144,65.2496
41.899155,66.23703
41.10919,67.22452
40.31923,69.19943
39.92424,72.16177
39.52925,77.09909
39.52925,83.023834
39.134277,88.94858
39.134277,94.87332
38.73929,101.78549
38.73929,104.747894
38.73929,105.73532
38.73929,105.73532
38.344315,103.76041
38.344315,100.798065
37.554337,97.83566
37.554337,93.88583
36.764374,89.936005
36.764374,86.97366
36.3694,84.99875
36.3694,81.04892
35.97441,80.06143
35.18445,77.09909
35.18445,76.1116
34.394485,74.13669
34.78946,73.14926
33.999496,73.14926
33.604523,73.14926
33.604523,73.14926
33.209534,73.14926
32.814545,75.124176
32.814545,75.124176
32.814545,76.1116
32.41957,76.1116
32.41957,77.09909
32.814545,77.09909
33.209534,76.1116
32.814545,75.124176
33.209534,74.13669
33.604523,74.13669
33.999496,72.16177
35.18445,72.16177
35.97441,72.16177
36.764374,71.17435
37.949326,71.17435
39.92424,70.18686
41.504166,70.18686
43.47908,70.18686
45.848984,69.19943
48.218872,69.19943
50.193787,68.211945
51.773727,68.211945
53.353653,68.211945
54.933594,68.211945
55.723557,67.22452
56.11853,67.22452
56.11853,68.211945
55.328568,68.211945
54.538605,67.22452
53.353653,66.23703
52.1687,66.23703
50.983765,67.22452
49.798813,66.23703
48.61386,66.23703
47.42891,67.22452
46.638947,68.211945
45.848984,70.18686
45.05902,74.13669
44.664032,79.074005
43.87407,84.99875
43.47908,91.91092
43.47908,98.82315
43.084106,103.76041
42.689117,108.69772
42.294144,111.660065
42.294144,112.64755
42.294144,110.67264
41.899155,108.69772
41.504166,105.73532
41.10919,101.78549
41.10919,98.82315
40.714203,95.86075
40.31923,91.91092
39.92424,89.936005
39.52925,87.96109
39.134277,84.99875
38.73929,84.01126
38.73929,82.03635
38.344315,80.06143
37.949326,78.08652
37.949326,77.09909
37.554337,76.1116
37.554337,77.09909
37.159363,77.09909
36.764374,78.08652
36.764374,78.08652
36.3694,79.074005
36.3694,80.06143
36.3694,79.074005
35.97441,79.074005
35.97441,79.074005
36.3694,78.08652
36.3694,78.08652
36.764374,76.1116
37.159363,76.1116
37.949326,75.124176
38.73929,75.124176
40.31923,74.13669
41.899155,73.14926
43.47908,73.14926
45.848984,73.14926
48.218872,73.14926
50.983765,73.14926
52.95868,72.16177
54.933594,72.16177
56.90851,71.17435
58.883423,71.17435
59.27841,71.17435
60.06836,70.18686
60.46335,70.18686
60.46335,70.18686
60.06836,69.19943
60.06836,69.19943
59.67337,69.19943
